,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,,Afghanistan,2021-04-01 04:27:05,33.93911,67.709953,56454,2484,51550.0,2420.0,Afghanistan,145.02030795507056,4.400042512488043
1,,Albania,2021-04-01 04:27:05,41.1533,20.1683,125157,2235,91271.0,31651.0,Albania,4349.051358676767,1.7857570890960952
2,,Algeria,2021-04-01 04:27:05,28.0339,1.6596,117192,3093,81538.0,32561.0,Algeria,267.2501997272904,2.639258652467745
3,,Andorra,2021-04-01 04:27:05,42.5063,1.5218,12010,115,11315.0,580.0,Andorra,15543.907331909662,0.9575353871773522
4,,Angola,2021-04-01 04:27:05,-11.2027,17.8739,22311,537,20493.0,1281.0,Angola,67.88419056279831,2.406884496436735
5,,Antigua and Barbuda,2021-04-01 04:27:05,17.0608,-61.7964,1136,28,820.0,288.0,Antigua and Barbuda,1160.0359447757537,2.464788732394366
6,,Argentina,2021-04-01 04:27:05,-38.4161,-63.6167,2348821,55858,2102616.0,190347.0,Argentina,5196.99218800907,2.378129282733763
7,,Armenia,2021-04-01 04:27:05,40.0691,45.0382,192639,3515,173064.0,16060.0,Armenia,6500.971573625303,1.8246564818131323
8,Australian Capital Territory,Australia,2021-04-01 04:27:05,-35.4735,149.0124,123,3,120.0,0.0,"Australian Capital Territory, Australia",28.73160476524177,2.4390243902439024
9,New South Wales,Australia,2021-04-01 04:27:05,-33.8688,151.2093,5296,54,0.0,5242.0,"New South Wales, Australia",65.23774328652378,1.0196374622356494
10,Northern Territory,Australia,2021-04-01 04:27:05,-12.4634,130.8456,108,0,106.0,2.0,"Northern Territory, Australia",43.97394136807818,0.0
11,Queensland,Australia,2021-04-01 04:27:05,-27.4698,153.0251,1477,6,1343.0,128.0,"Queensland, Australia",28.87303293910664,0.4062288422477996
12,South Australia,Australia,2021-04-01 04:27:05,-34.9285,138.6007,656,4,640.0,12.0,"South Australia, Australia",37.346996868773125,0.6097560975609756
13,Tasmania,Australia,2021-04-01 04:27:05,-42.8821,147.3272,234,13,221.0,0.0,"Tasmania, Australia",43.69747899159664,5.555555555555555
14,Victoria,Australia,2021-04-01 04:27:05,-37.8136,144.9631,20484,820,19664.0,0.0,"Victoria, Australia",308.9639361076336,4.003124389767623
15,Western Australia,Australia,2021-04-01 04:27:05,-31.9505,115.8605,944,9,918.0,17.0,"Western Australia, Australia",35.88534934995818,0.9533898305084746
16,,Austria,2021-04-01 04:27:05,47.5162,14.5501,546229,9339,501116.0,35774.0,Austria,6064.8982945461,1.7097224790335188
17,,Azerbaijan,2021-04-01 04:27:05,40.1431,47.5769,261713,3567,238125.0,20021.0,Azerbaijan,2581.206064595985,1.362943376905236
18,,Bahamas,2021-04-01 04:27:05,25.025885,-78.035889,9119,188,8597.0,334.0,Bahamas,2318.892912360648,2.061629564645246
